term,code,reference,see_also,type,indent_level
traffic,V02.19,,,code,0
vehicle,V09.9,,,code,0
animal-drawn,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
nontraffic,V09.00,,,code,0
traffic,V09.20,,,code,0
fall,V00.321,,,code,0
nontraffic,V09.1,,,code,0
involving motor vehicle NEC,V09.00,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle NEC,V09.20,,,code,0
snow board,V00.318,,,code,0
collision (with),V09.9,,,code,0
animal being ridden or animal drawn vehicle,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
bus or heavy transport,V04.99,,,code,0
nontraffic,V04.09,,,code,0
traffic,V04.19,,,code,0
car,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
pedal cycle,V01.99,,,code,0
nontraffic,V01.09,,,code,0
traffic,V01.19,,,code,0
pick-up truck or van,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
railway (train) (vehicle),V05.99,,,code,0
nontraffic,V05.09,,,code,0
traffic,V05.19,,,code,0
streetcar,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
stationary object,V00.312,,,code,0
two- or three-wheeled motor vehicle,V02.99,,,code,0
nontraffic,V02.09,,,code,0
traffic,V02.19,,,code,0
vehicle,V09.9,,,code,0
animal-drawn,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
nontraffic,V09.00,,,code,0
traffic,V09.20,,,code,0
fall,V00.311,,,code,0
nontraffic,V09.1,,,code,0
involving motor vehicle NEC,V09.00,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle NEC,V09.20,,,code,0
specified type NEC,V00.898,,,code,0
collision (with),V09.9,,,code,0
animal being ridden or animal drawn vehicle,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
bus or heavy transport,V04.99,,,code,0
nontraffic,V04.09,,,code,0
traffic,V04.19,,,code,0
car,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
pedal cycle,V01.99,,,code,0
nontraffic,V01.09,,,code,0
traffic,V01.19,,,code,0
pick-up truck or van,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
railway (train) (vehicle),V05.99,,,code,0
nontraffic,V05.09,,,code,0
traffic,V05.19,,,code,0
streetcar,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
stationary object,V00.892,,,code,0
two- or three-wheeled motor vehicle,V02.99,,,code,0
nontraffic,V02.09,,,code,0
traffic,V02.19,,,code,0
vehicle,V09.9,,,code,0
animal-drawn,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
nontraffic,V09.00,,,code,0
traffic,V09.20,,,code,0
fall,V00.891,,,code,0
nontraffic,V09.1,,,code,0
involving motor vehicle NEC,V09.00,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle NEC,V09.20,,,code,0
animal being ridden or animal drawn vehicle,V06.931,,,code,0
nontraffic,V06.031,,,code,0
traffic,V06.131,,,code,0
bus or heavy transport,V04.931,,,code,0
nontraffic,V04.031,,,code,0
traffic,V04.131,,,code,0
car,V03.931,,,code,0
nontraffic,V03.031,,,code,0
traffic,V03.131,,,code,0
pedal cycle,V01.931,,,code,0
nontraffic,V01.031,,,code,0
traffic,V01.131,,,code,0
pick-up or van,V03.931,,,code,0
nontraffic,V03.031,,,code,0
traffic,V03.131,,,code,0
railway (train) (vehicle),V05.931,,,code,0
nontraffic,V05.031,,,code,0
traffic,V05.131,,,code,0
streetcar,V06.931,,,code,0
nontraffic,V06.031,,,code,0
traffic,V06.131,,,code,0
three-wheeled motor vehicle,V02.931,,,code,0
nontraffic,V02.031,,,code,0
traffic,V02.131,,,code,0
two-wheeled motor vehicle,V02.931,,,code,0
nontraffic,V02.031,,,code,0
traffic,V02.131,,,code,0
"vehicle, nonmotor, specified NEC",V06.931,,,code,0
nontraffic,V06.031,,,code,0
traffic,V06.131,,,code,0
fall,V00.841,,,code,0
animal being ridden or animal drawn vehicle,V06.938,,,code,0
nontraffic,V06.038,,,code,0
traffic,V06.138,,,code,0
bus or heavy transport,V04.938,,,code,0
nontraffic,V04.038,,,code,0
traffic,V04.138,,,code,0
car,V03.938,,,code,0
nontraffic,V03.038,,,code,0
traffic,V03.138,,,code,0
pedal cycle,V01.938,,,code,0
nontraffic,V01.038,,,code,0
traffic,V01.138,,,code,0
pick-up or van,V03.938,,,code,0
nontraffic,V03.038,,,code,0
traffic,V03.138,,,code,0
railway (train) (vehicle),V05.938,,,code,0
nontraffic,V05.038,,,code,0
traffic,V05.138,,,code,0
stationary object,V00.842,,,code,0
streetcar,V06.938,,,code,0
nontraffic,V06.038,,,code,0
traffic,V06.138,,,code,0
three-wheeled motor vehicle,V02.938,,,code,0
nontraffic,V02.038,,,code,0
traffic,V02.138,,,code,0
two-wheeled motor vehicle,V02.938,,,code,0
nontraffic,V02.038,,,code,0
traffic,V02.138,,,code,0
"vehicle, nonmotor, specified NEC",V06.938,,,code,0
nontraffic,V06.038,,,code,0
traffic,V06.138,,,code,0
fall,V00.848,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle,V09.20,,,code,0
military,V09.21,,,code,0
specified type NEC,V09.29,,,code,0
wheelchair (powered),V00.818,,,code,0
collision (with),V09.9,,,code,0
animal being ridden or animal drawn vehicle,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
bus or heavy transport,V04.99,,,code,0
nontraffic,V04.09,,,code,0
traffic,V04.19,,,code,0
car,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
pedal cycle,V01.99,,,code,0
nontraffic,V01.09,,,code,0
traffic,V01.19,,,code,0
pick-up truck or van,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
railway (train) (vehicle),V05.99,,,code,0
nontraffic,V05.09,,,code,0
traffic,V05.19,,,code,0
streetcar,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
stationary object,V00.812,,,code,0
two- or three-wheeled motor vehicle,V02.99,,,code,0
nontraffic,V02.09,,,code,0
traffic,V02.19,,,code,0
vehicle,V09.9,,,code,0
animal-drawn,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
nontraffic,V09.00,,,code,0
traffic,V09.20,,,code,0
fall,V00.811,,,code,0
nontraffic,V09.1,,,code,0
involving motor vehicle NEC,V09.00,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle NEC,V09.20,,,code,0
wheeled shoe,V00.158,,,code,0
colliding with stationary object,V00.152,,,code,0
fall,V00.151,,,code,0
on foot,,,"Accident, pedestrian",see_also,0
animal being ridden or animal drawn vehicle,V06.90,,,code,0
nontraffic,V06.00,,,code,0
traffic,V06.10,,,code,0
bus or heavy transport,V04.90,,,code,0
nontraffic,V04.00,,,code,0
traffic,V04.10,,,code,0
car,V03.90,,,code,0
nontraffic,V03.00,,,code,0
traffic,V03.10,,,code,0
pedal cycle,V01.90,,,code,0
nontraffic,V01.00,,,code,0
traffic,V01.10,,,code,0
pick-up truck or van,V03.90,,,code,0
nontraffic,V03.00,,,code,0
traffic,V03.10,,,code,0
railway (train) (vehicle),V05.90,,,code,0
nontraffic,V05.00,,,code,0
traffic,V05.10,,,code,0
streetcar,V06.90,,,code,0
nontraffic,V06.00,,,code,0
traffic,V06.10,,,code,0
two- or three-wheeled motor vehicle,V02.90,,,code,0
nontraffic,V02.00,,,code,0
traffic,V02.10,,,code,0
vehicle,V09.9,,,code,0
animal-drawn,V06.90,,,code,0
nontraffic,V06.00,,,code,0
traffic,V06.10,,,code,0
nontraffic,V09.00,,,code,0
traffic,V09.20,,,code,0
nontraffic,V09.1,,,code,0
involving motor vehicle,V09.00,,,code,0
military,V09.01,,,code,0
specified type NEC,V09.09,,,code,0
traffic,V09.3,,,code,0
involving motor vehicle,V09.20,,,code,0
military,V09.21,,,code,0
specified type NEC,V09.29,,,code,0
person NEC (unknown way or transportation),V99,,,code,0
heavy transport vehicle (traffic),V87.5,,,code,0
nontraffic,V88.5,,,code,0
nontraffic,V88.5,,,code,0
bus (traffic),V87.3,,,code,0
nontraffic,V88.3,,,code,0
heavy transport vehicle (traffic),V87.4,,,code,0
nontraffic,V88.4,,,code,0
pick-up truck or van (traffic),V87.2,,,code,0
nontraffic,V88.2,,,code,0
train or railway vehicle (traffic),V87.6,,,code,0
nontraffic,V88.6,,,code,0
two-or three-wheeled motor vehicle (traffic),V87.0,,,code,0
nontraffic,V88.0,,,code,0
motor vehicle (traffic) NEC,V87.7,,,code,0
nontraffic,V88.7,,,code,0
motor vehicle NEC,V87.1,,,code,0
nontraffic,V88.1,,,code,0
nonmotor vehicle (collision) (noncollision) (traffic),V87.9,,,code,0
nontraffic,V88.9,,,code,0
pickup truck occupant,V59.9,,,code,0
animal (traffic),V50.9,,,code,0
being ridden (traffic),V56.9,,,code,0
nontraffic,V56.3,,,code,0
while boarding or alighting,V56.4,,,code,0
nontraffic,V50.3,,,code,0
while boarding or alighting,V50.4,,,code,0
animal-drawn vehicle (traffic),V56.9,,,code,0
nontraffic,V56.3,,,code,0
while boarding or alighting,V56.4,,,code,0
bus (traffic),V54.9,,,code,0
nontraffic,V54.3,,,code,0
while boarding or alighting,V54.4,,,code,0
car (traffic),V53.9,,,code,0
nontraffic,V53.3,,,code,0
while boarding or alighting,V53.4,,,code,0
motor vehicle NOS (traffic),V59.60,,,code,0
nontraffic,V59.20,,,code,0
specified type NEC (traffic),V59.69,,,code,0
nontraffic,V59.29,,,code,0
pedal cycle (traffic),V51.9,,,code,0
nontraffic,V51.3,,,code,0
while boarding or alighting,V51.4,,,code,0
pickup truck (traffic),V53.9,,,code,0
nontraffic,V53.3,,,code,0
while boarding or alighting,V53.4,,,code,0
railway vehicle (traffic),V55.9,,,code,0
nontraffic,V55.3,,,code,0
while boarding or alighting,V55.4,,,code,0
specified vehicle NEC (traffic),V56.9,,,code,0
nontraffic,V56.3,,,code,0
while boarding or alighting,V56.4,,,code,0
stationary object (traffic),V57.9,,,code,0
nontraffic,V57.3,,,code,0
while boarding or alighting,V57.4,,,code,0
streetcar (traffic),V56.9,,,code,0
nontraffic,V56.3,,,code,0
while boarding or alighting,V56.4,,,code,0
three wheeled motor vehicle (traffic),V52.9,,,code,0
nontraffic,V52.3,,,code,0
while boarding or alighting,V52.4,,,code,0
truck (traffic),V54.9,,,code,0
nontraffic,V54.3,,,code,0
while boarding or alighting,V54.4,,,code,0
two wheeled motor vehicle (traffic),V52.9,,,code,0
nontraffic,V52.3,,,code,0
while boarding or alighting,V52.4,,,code,0
van (traffic),V53.9,,,code,0
nontraffic,V53.3,,,code,0
while boarding or alighting,V53.4,,,code,0
animal (traffic),V50.5,,,code,0
being ridden (traffic),V56.5,,,code,0
nontraffic,V56.0,,,code,0
nontraffic,V50.0,,,code,0
animal-drawn vehicle (traffic),V56.5,,,code,0
nontraffic,V56.0,,,code,0
bus (traffic),V54.5,,,code,0
nontraffic,V54.0,,,code,0
car (traffic),V53.5,,,code,0
nontraffic,V53.0,,,code,0
motor vehicle NOS (traffic),V59.40,,,code,0
nontraffic,V59.00,,,code,0
specified type NEC (traffic),V59.49,,,code,0
nontraffic,V59.09,,,code,0
pedal cycle (traffic),V51.5,,,code,0
nontraffic,V51.0,,,code,0
pickup truck (traffic),V53.5,,,code,0
nontraffic,V53.0,,,code,0
railway vehicle (traffic),V55.5,,,code,0
nontraffic,V55.0,,,code,0
specified vehicle NEC (traffic),V56.5,,,code,0
nontraffic,V56.0,,,code,0
stationary object (traffic),V57.5,,,code,0
nontraffic,V57.0,,,code,0
streetcar (traffic),V56.5,,,code,0
nontraffic,V56.0,,,code,0
three wheeled motor vehicle (traffic),V52.5,,,code,0
nontraffic,V52.0,,,code,0
truck (traffic),V54.5,,,code,0
nontraffic,V54.0,,,code,0
two wheeled motor vehicle (traffic),V52.5,,,code,0
nontraffic,V52.0,,,code,0
van (traffic),V53.5,,,code,0
nontraffic,V53.0,,,code,0
noncollision accident (traffic),V58.5,,,code,0
nontraffic,V58.0,,,code,0
noncollision accident (traffic),V58.9,,,code,0
nontraffic,V58.3,,,code,0
while boarding or alighting,V58.4,,,code,0
nontraffic,V59.3,,,code,0
animal (traffic),V50.7,,,code,0
being ridden (traffic),V56.7,,,code,0
nontraffic,V56.2,,,code,0
nontraffic,V50.2,,,code,0
animal-drawn vehicle (traffic),V56.7,,,code,0
nontraffic,V56.2,,,code,0
bus (traffic),V54.7,,,code,0
nontraffic,V54.2,,,code,0
car (traffic),V53.7,,,code,0
nontraffic,V53.2,,,code,0
pedal cycle (traffic),V51.7,,,code,0
nontraffic,V51.2,,,code,0
pickup truck (traffic),V53.7,,,code,0
nontraffic,V53.2,,,code,0
railway vehicle (traffic),V55.7,,,code,0
nontraffic,V55.2,,,code,0
specified vehicle NEC (traffic),V56.7,,,code,0
nontraffic,V56.2,,,code,0
stationary object (traffic),V57.7,,,code,0
nontraffic,V57.2,,,code,0
streetcar (traffic),V56.7,,,code,0
nontraffic,V56.2,,,code,0
three wheeled motor vehicle (traffic),V52.7,,,code,0
nontraffic,V52.2,,,code,0
truck (traffic),V54.7,,,code,0
nontraffic,V54.2,,,code,0
two wheeled motor vehicle (traffic),V52.7,,,code,0
nontraffic,V52.2,,,code,0
van (traffic),V53.7,,,code,0
nontraffic,V53.2,,,code,0
noncollision accident (traffic),V58.7,,,code,0
nontraffic,V58.2,,,code,0
animal (traffic),V50.6,,,code,0
being ridden (traffic),V56.6,,,code,0
nontraffic,V56.1,,,code,0
nontraffic,V50.1,,,code,0
animal-drawn vehicle (traffic),V56.6,,,code,0
nontraffic,V56.1,,,code,0
bus (traffic),V54.6,,,code,0
nontraffic,V54.1,,,code,0
car (traffic),V53.6,,,code,0
nontraffic,V53.1,,,code,0
motor vehicle NOS (traffic),V59.50,,,code,0
nontraffic,V59.10,,,code,0
specified type NEC (traffic),V59.59,,,code,0
nontraffic,V59.19,,,code,0
pedal cycle (traffic),V51.6,,,code,0
nontraffic,V51.1,,,code,0
pickup truck (traffic),V53.6,,,code,0
nontraffic,V53.1,,,code,0
railway vehicle (traffic),V55.6,,,code,0
nontraffic,V55.1,,,code,0
specified vehicle NEC (traffic),V56.6,,,code,0
nontraffic,V56.1,,,code,0
stationary object (traffic),V57.6,,,code,0
nontraffic,V57.1,,,code,0
streetcar (traffic),V56.6,,,code,0
nontraffic,V56.1,,,code,0
three wheeled motor vehicle (traffic),V52.6,,,code,0
nontraffic,V52.1,,,code,0
truck (traffic),V54.6,,,code,0
nontraffic,V54.1,,,code,0
two wheeled motor vehicle (traffic),V52.6,,,code,0
nontraffic,V52.1,,,code,0
van (traffic),V53.6,,,code,0
nontraffic,V53.1,,,code,0
noncollision accident (traffic),V58.6,,,code,0
nontraffic,V58.1,,,code,0
specified type NEC,V59.88,,,code,0
military vehicle,V59.81,,,code,0
quarry truck,,"Accident, transport, industrial vehicle occupant",,see,0
race car,,"Accident, transport, motor vehicle NEC occupant",,see,0
railway vehicle occupant,V81.9,,,code,0
collision (with),V81.3,,,code,0
motor vehicle (non-military) (traffic),V81.1,,,code,0
military,V81.83,,,code,0
nontraffic,V81.0,,,code,0
rolling stock,V81.2,,,code,0
specified object NEC,V81.3,,,code,0
during derailment,V81.7,,,code,0
with antecedent collision,,"Accident, transport, railway vehicle occupant, collision",,see,0
explosion,V81.81,,,code,0
fall (in railway vehicle),V81.5,,,code,0
during derailment,V81.7,,,code,0
with antecedent collision,,"Accident, transport, railway vehicle occupant, collision",,see,0
from railway vehicle,V81.6,,,code,0
during derailment,V81.7,,,code,0
with antecedent collision,,"Accident, transport, railway vehicle occupant, collision",,see,0
while boarding or alighting,V81.4,,,code,0
fire,V81.81,,,code,0
object falling onto train,V81.82,,,code,0
specified type NEC,V81.89,,,code,0
while boarding or alighting,V81.4,,,code,0
Segway,V00.848,,,code,0
ski lift,V98.3,,,code,0
snowmobile occupant (nontraffic),V86.92,,,code,0
driver,V86.52,,,code,0
hanger-on,V86.72,,,code,0
passenger,V86.62,,,code,0
traffic,V86.32,,,code,0
driver,V86.02,,,code,0
hanger-on,V86.22,,,code,0
passenger,V86.12,,,code,0
while boarding or alighting,V86.42,,,code,0
specified NEC,V98.8,,,code,0
sport utility vehicle occupant,,,"Accident, transport, pickup truck occupant",see_also,0
streetcar occupant,V82.9,,,code,0
collision (with),V82.3,,,code,0
motor vehicle (traffic),V82.1,,,code,0
nontraffic,V82.0,,,code,0
rolling stock,V82.2,,,code,0
during derailment,V82.7,,,code,0
with antecedent collision,,"Accident, transport, streetcar occupant, collision",,see,0
fall (in streetcar),V82.5,,,code,0
during derailment,V82.7,,,code,0
with antecedent collision,,"Accident, transport, streetcar occupant, collision",,see,0
from streetcar,V82.6,,,code,0
during derailment,V82.7,,,code,0
with antecedent collision,,"Accident, transport, streetcar occupant, collision",,see,0
while boarding or alighting,V82.4,,,code,0
while boarding or alighting,V82.4,,,code,0
specified type NEC,V82.8,,,code,0
while boarding or alighting,V82.4,,,code,0
three-wheeled motor vehicle occupant,V39.9,,,code,0
animal (traffic),V30.9,,,code,0
being ridden (traffic),V36.9,,,code,0
nontraffic,V36.3,,,code,0
while boarding or alighting,V36.4,,,code,0
nontraffic,V30.3,,,code,0
while boarding or alighting,V30.4,,,code,0
animal-drawn vehicle (traffic),V36.9,,,code,0
nontraffic,V36.3,,,code,0
while boarding or alighting,V36.4,,,code,0
bus (traffic),V34.9,,,code,0
nontraffic,V34.3,,,code,0
while boarding or alighting,V34.4,,,code,0
car (traffic),V33.9,,,code,0
nontraffic,V33.3,,,code,0
while boarding or alighting,V33.4,,,code,0
motor vehicle NOS (traffic),V39.60,,,code,0
nontraffic,V39.20,,,code,0
specified type NEC (traffic),V39.69,,,code,0
nontraffic,V39.29,,,code,0
pedal cycle (traffic),V31.9,,,code,0
nontraffic,V31.3,,,code,0
while boarding or alighting,V31.4,,,code,0
pickup truck (traffic),V33.9,,,code,0
nontraffic,V33.3,,,code,0
while boarding or alighting,V33.4,,,code,0
railway vehicle (traffic),V35.9,,,code,0
nontraffic,V35.3,,,code,0
while boarding or alighting,V35.4,,,code,0
specified vehicle NEC (traffic),V36.9,,,code,0
nontraffic,V36.3,,,code,0
while boarding or alighting,V36.4,,,code,0
stationary object (traffic),V37.9,,,code,0
nontraffic,V37.3,,,code,0
while boarding or alighting,V37.4,,,code,0
streetcar (traffic),V36.9,,,code,0
nontraffic,V36.3,,,code,0
while boarding or alighting,V36.4,,,code,0
three wheeled motor vehicle (traffic),V32.9,,,code,0
nontraffic,V32.3,,,code,0
while boarding or alighting,V32.4,,,code,0
truck (traffic),V34.9,,,code,0
nontraffic,V34.3,,,code,0
while boarding or alighting,V34.4,,,code,0
two wheeled motor vehicle (traffic),V32.9,,,code,0
nontraffic,V32.3,,,code,0
while boarding or alighting,V32.4,,,code,0
van (traffic),V33.9,,,code,0
nontraffic,V33.3,,,code,0
while boarding or alighting,V33.4,,,code,0
animal (traffic),V30.5,,,code,0
being ridden (traffic),V36.5,,,code,0
nontraffic,V36.0,,,code,0
nontraffic,V30.0,,,code,0
animal-drawn vehicle (traffic),V36.5,,,code,0
nontraffic,V36.0,,,code,0
bus (traffic),V34.5,,,code,0
nontraffic,V34.0,,,code,0
car (traffic),V33.5,,,code,0
nontraffic,V33.0,,,code,0
motor vehicle NOS (traffic),V39.40,,,code,0
nontraffic,V39.00,,,code,0
specified type NEC (traffic),V39.49,,,code,0
nontraffic,V39.09,,,code,0
pedal cycle (traffic),V31.5,,,code,0
nontraffic,V31.0,,,code,0
pickup truck (traffic),V33.5,,,code,0
nontraffic,V33.0,,,code,0
railway vehicle (traffic),V35.5,,,code,0
nontraffic,V35.0,,,code,0
specified vehicle NEC (traffic),V36.5,,,code,0
nontraffic,V36.0,,,code,0
stationary object (traffic),V37.5,,,code,0
nontraffic,V37.0,,,code,0
streetcar (traffic),V36.5,,,code,0
nontraffic,V36.0,,,code,0
three wheeled motor vehicle (traffic),V32.5,,,code,0
nontraffic,V32.0,,,code,0
truck (traffic),V34.5,,,code,0
nontraffic,V34.0,,,code,0
two wheeled motor vehicle (traffic),V32.5,,,code,0
nontraffic,V32.0,,,code,0
van (traffic),V33.5,,,code,0
nontraffic,V33.0,,,code,0
noncollision accident (traffic),V38.5,,,code,0
nontraffic,V38.0,,,code,0
noncollision accident (traffic),V38.9,,,code,0
nontraffic,V38.3,,,code,0
while boarding or alighting,V38.4,,,code,0
nontraffic,V39.3,,,code,0
animal (traffic),V30.7,,,code,0
being ridden (traffic),V36.7,,,code,0
nontraffic,V36.2,,,code,0
nontraffic,V30.2,,,code,0
animal-drawn vehicle (traffic),V36.7,,,code,0
nontraffic,V36.2,,,code,0
bus (traffic),V34.7,,,code,0
nontraffic,V34.2,,,code,0
car (traffic),V33.7,,,code,0
nontraffic,V33.2,,,code,0
pedal cycle (traffic),V31.7,,,code,0
nontraffic,V31.2,,,code,0
pickup truck (traffic),V33.7,,,code,0
nontraffic,V33.2,,,code,0
railway vehicle (traffic),V35.7,,,code,0
nontraffic,V35.2,,,code,0
specified vehicle NEC (traffic),V36.7,,,code,0
nontraffic,V36.2,,,code,0
stationary object (traffic),V37.7,,,code,0
nontraffic,V37.2,,,code,0
streetcar (traffic),V36.7,,,code,0
nontraffic,V36.2,,,code,0
three wheeled motor vehicle (traffic),V32.7,,,code,0
nontraffic,V32.2,,,code,0
truck (traffic),V34.7,,,code,0
nontraffic,V34.2,,,code,0
two wheeled motor vehicle (traffic),V32.7,,,code,0
nontraffic,V32.2,,,code,0
van (traffic),V33.7,,,code,0
nontraffic,V33.2,,,code,0
noncollision accident (traffic),V38.7,,,code,0
nontraffic,V38.2,,,code,0
animal (traffic),V30.6,,,code,0
being ridden (traffic),V36.6,,,code,0
nontraffic,V36.1,,,code,0
nontraffic,V30.1,,,code,0
animal-drawn vehicle (traffic),V36.6,,,code,0
nontraffic,V36.1,,,code,0
bus (traffic),V34.6,,,code,0
nontraffic,V34.1,,,code,0
car (traffic),V33.6,,,code,0
nontraffic,V33.1,,,code,0
motor vehicle NOS (traffic),V39.50,,,code,0
nontraffic,V39.10,,,code,0
specified type NEC (traffic),V39.59,,,code,0
nontraffic,V39.19,,,code,0
pedal cycle (traffic),V31.6,,,code,0
nontraffic,V31.1,,,code,0
pickup truck (traffic),V33.6,,,code,0
nontraffic,V33.1,,,code,0
railway vehicle (traffic),V35.6,,,code,0
nontraffic,V35.1,,,code,0
specified vehicle NEC (traffic),V36.6,,,code,0
nontraffic,V36.1,,,code,0
stationary object (traffic),V37.6,,,code,0
nontraffic,V37.1,,,code,0
streetcar (traffic),V36.6,,,code,0
nontraffic,V36.1,,,code,0
three wheeled motor vehicle (traffic),V32.6,,,code,0
nontraffic,V32.1,,,code,0
truck (traffic),V34.6,,,code,0
nontraffic,V34.1,,,code,0
two wheeled motor vehicle (traffic),V32.6,,,code,0
nontraffic,V32.1,,,code,0
van (traffic),V33.6,,,code,0
nontraffic,V33.1,,,code,0
noncollision accident (traffic),V38.6,,,code,0
nontraffic,V38.1,,,code,0
specified type NEC,V39.89,,,code,0
military vehicle,V39.81,,,code,0
tractor (farm) (and trailer),,"Accident, transport, agricultural vehicle occupant",,see,0
tram,,"Accident, transport, streetcar",,see,0
in mine or quarry,,"Accident, transport, industrial vehicle occupant",,see,0
trolley,,"Accident, transport, streetcar",,see,0
in mine or quarry,,"Accident, transport, industrial vehicle occupant",,see,0
truck (heavy) occupant,V69.9,,,code,0
animal (traffic),V60.9,,,code,0
being ridden (traffic),V66.9,,,code,0
nontraffic,V66.3,,,code,0
while boarding or alighting,V66.4,,,code,0
nontraffic,V60.3,,,code,0
while boarding or alighting,V60.4,,,code,0
animal-drawn vehicle (traffic),V66.9,,,code,0
nontraffic,V66.3,,,code,0
while boarding or alighting,V66.4,,,code,0
bus (traffic),V64.9,,,code,0
nontraffic,V64.3,,,code,0
while boarding or alighting,V64.4,,,code,0
car (traffic),V63.9,,,code,0
nontraffic,V63.3,,,code,0
while boarding or alighting,V63.4,,,code,0
motor vehicle NOS (traffic),V69.60,,,code,0
nontraffic,V69.20,,,code,0
specified type NEC (traffic),V69.69,,,code,0
nontraffic,V69.29,,,code,0
pedal cycle (traffic),V61.9,,,code,0
nontraffic,V61.3,,,code,0
while boarding or alighting,V61.4,,,code,0
pickup truck (traffic),V63.9,,,code,0
nontraffic,V63.3,,,code,0
while boarding or alighting,V63.4,,,code,0
railway vehicle (traffic),V65.9,,,code,0
nontraffic,V65.3,,,code,0
while boarding or alighting,V65.4,,,code,0
specified vehicle NEC (traffic),V66.9,,,code,0
nontraffic,V66.3,,,code,0
while boarding or alighting,V66.4,,,code,0
stationary object (traffic),V67.9,,,code,0
nontraffic,V67.3,,,code,0
while boarding or alighting,V67.4,,,code,0
streetcar (traffic),V66.9,,,code,0
nontraffic,V66.3,,,code,0
while boarding or alighting,V66.4,,,code,0
three wheeled motor vehicle (traffic),V62.9,,,code,0
nontraffic,V62.3,,,code,0
while boarding or alighting,V62.4,,,code,0
truck (traffic),V64.9,,,code,0
nontraffic,V64.3,,,code,0
while boarding or alighting,V64.4,,,code,0
two wheeled motor vehicle (traffic),V62.9,,,code,0
nontraffic,V62.3,,,code,0
while boarding or alighting,V62.4,,,code,0
van (traffic),V63.9,,,code,0
nontraffic,V63.3,,,code,0
while boarding or alighting,V63.4,,,code,0
animal (traffic),V60.5,,,code,0
being ridden (traffic),V66.5,,,code,0
nontraffic,V66.0,,,code,0
nontraffic,V60.0,,,code,0
animal-drawn vehicle (traffic),V66.5,,,code,0
nontraffic,V66.0,,,code,0
bus (traffic),V64.5,,,code,0
nontraffic,V64.0,,,code,0
car (traffic),V63.5,,,code,0
nontraffic,V63.0,,,code,0
motor vehicle NOS (traffic),V69.40,,,code,0
nontraffic,V69.00,,,code,0
specified type NEC (traffic),V69.49,,,code,0
nontraffic,V69.09,,,code,0
pedal cycle (traffic),V61.5,,,code,0
nontraffic,V61.0,,,code,0
pickup truck (traffic),V63.5,,,code,0
nontraffic,V63.0,,,code,0
railway vehicle (traffic),V65.5,,,code,0
nontraffic,V65.0,,,code,0
specified vehicle NEC (traffic),V66.5,,,code,0
nontraffic,V66.0,,,code,0
stationary object (traffic),V67.5,,,code,0
nontraffic,V67.0,,,code,0
streetcar (traffic),V66.5,,,code,0
nontraffic,V66.0,,,code,0
three wheeled motor vehicle (traffic),V62.5,,,code,0
nontraffic,V62.0,,,code,0
truck (traffic),V64.5,,,code,0
nontraffic,V64.0,,,code,0
two wheeled motor vehicle (traffic),V62.5,,,code,0
nontraffic,V62.0,,,code,0
van (traffic),V63.5,,,code,0
nontraffic,V63.0,,,code,0
noncollision accident (traffic),V68.5,,,code,0
nontraffic,V68.0,,,code,0
dump,,"Accident, transport, construction vehicle occupant",,see,0
animal (traffic),V60.7,,,code,0
being ridden (traffic),V66.7,,,code,0
nontraffic,V66.2,,,code,0
nontraffic,V60.2,,,code,0
animal-drawn vehicle (traffic),V66.7,,,code,0
nontraffic,V66.2,,,code,0
bus (traffic),V64.7,,,code,0
nontraffic,V64.2,,,code,0
car (traffic),V63.7,,,code,0
nontraffic,V63.2,,,code,0
pedal cycle (traffic),V61.7,,,code,0
nontraffic,V61.2,,,code,0
pickup truck (traffic),V63.7,,,code,0
nontraffic,V63.2,,,code,0
railway vehicle (traffic),V65.7,,,code,0
nontraffic,V65.2,,,code,0
specified vehicle NEC (traffic),V66.7,,,code,0
nontraffic,V66.2,,,code,0
stationary object (traffic),V67.7,,,code,0
